"Revenues","182,795,000,000","170,910,000,000","11,885,000,000","6.95","49,605,000,000","74,599,000,000","(24,994,000,000)","(33.50)","0.05","0.23",
"Direct Costs","112,258,000,000","106,606,000,000","5,652,000,000","5.30","29,924,000,000","44,858,000,000","(14,934,000,000)","(33.29)","0.09","0.23",
"Gross Profit","70,537,000,000","64,304,000,000","6,233,000,000","9.69","19,681,000,000","29,741,000,000","(10,060,000,000)","(33.83)","0.01","0.22",
"Taxation","13,973,000,000","13,118,000,000","855,000,000","6.52","3,796,000,000","6,392,000,000","(2,596,000,000)","(40.61)","0.00","0.25",
"Net Income","39,510,000,000","37,037,000,000","2,473,000,000","6.68","10,677,000,000","18,024,000,000","(7,347,000,000)","(40.76)","(0.02)","0.23",
"EPS Continuing Basic","6.49","5.72","0.77","13.46","1.86","3.08","(1.22)","(39.61)","0.01","0.24",
"EPS Net Basic","6.49","5.72","0.77","13.46","1.86","3.08","(1.22)","(39.61)","0.01","0.24",
"EPS Continuing Diluted","6.45","5.68","0.77","13.56","1.85","3.06","(1.21)","(39.54)","0.01","0.24",
"EPS Net Diluted","6.45","5.68","0.77","13.56","1.85","3.06","(1.21)","(39.54)","0.01","0.24",
