"ROA % (Net)","18.06","19.39","28.08","27.14","21.78","12.24","14.93",
"ROE % (Net)","33.7","30.72","42.15","41.79","37.16","23.41","27.26",
"ROI % (Operating)","36.64","37.98","55.79","54.47","48.76","31.43","35.39",
"EBITDA Margin %","32.83","32.43","37.03","32.79","29.52","22.66","20.67",
"Calculated Tax Rate %","26.13","26.15","25.16","24.22","24.42","28.56","29.89",
"Revenue per Employee","1,889,662","2,030,563","2,023,349","1,714,793","1,323,971","995,581","927,870",
